Grupo,AUC_média,AUC_std
or/0.5-0.5,0.686638274885208,0.031863653681399706
or/1-1,0.7459397239967084,0.02642209898572647
or/2-2,0.7911454701917702,0.024375201953073595
mb/0.5-1/gaussian,0.7024268063642818,0.03517639325713977
mb/0.5-1/bilateral,0.6864774718751767,0.031851318499151106
mb/0.5-1/tv,0.6971247039905529,0.030042376342505506
mb/1-2/gaussian,0.7295108070929203,0.034033023623506485
mb/1-2/bilateral,0.7445402353000294,0.026778981662789393
mb/1-2/tv,0.7553124666302347,0.025872993013625962
